ME	33265	1164	37.7	466.2	213.8	33.6	21.1	15.6	14.5	1773	47	1	1
NH	9279	998	35.9	395.9	182.2	29.6	20.1	17.6	10.4	1612	34	1	1
VT	9614	535	41.3	433.1	188.1	33.1	24	15.6	13.1	1154	19	1	1
MA	8284	5822	31.1	460.6	219	24.9	29.7	16	13	16442	177	1	1
RI	1212	968	28.6	474.1	231.5	27.4	17.7	26.2	13.4	2020	21	1	1
CT	5018	3174	35.3	423.8	205.1	23.2	22.4	15.4	11.7	8076	65	1	1
NY	49108	17783	31.5	499.5	209.9	23.9	26	17.1	17.7	49304	338	1	2
NJ	7787	7562	32.2	464.7	216.3	23.3	19.9	17.3	14.2	15120	131	1	2
PA	45308	11853	34.9	508.7	223.6	27	20.1	20.4	12	23695	307	1	2
OH	41330	10744	33.2	443.1	198.8	27.4	18	18.9	10.2	18518	236	2	3
IN	36185	5499	37.7	435.7	184.6	27.2	18.6	17.2	8.4	7339	133	2	3
IL	56345	11535	32.9	449.6	193.2	22.9	21.3	15.3	12.5	22173	279	2	3
MI	58527	9088	34.3	420.9	182.3	24.2	18.7	14.8	13.7	15212	231	2	3
WI	56153	4775	33.8	444.3	189.4	22.5	21.2	15.7	8.7	7899	163	2	3
MN	84402	4193	35.7	398.3	174	23.4	25.6	13.5	8.1	8098	181	2	4
IA	56275	2884	38.6	490.1	199.1	31.2	28.3	16.6	7.9	3842	140	2	4
MO	69697	5029	42.2	475.9	211.1	29.8	25.7	15.3	9.6	8422	169	2	4
ND	70703	685	48.2	401	173.7	18.2	25.9	14.9	7.4	936	58	2	4
SD	77116	708	53	495.2	182.1	30.7	32.4	12.8	7.2	833	68	2	4
NE	77355	1606	40.8	479.6	187.4	31.6	28.3	13.5	7.8	2394	110	2	4
KS	82277	2450	42.9	455.9	183.9	32.3	24.9	16.9	7.8	3801	165	2	4
DE	2044	622	38.8	404.5	202.8	25.3	16	25	10.5	1046	14	3	5
MD	10460	4392	35.2	366.7	195	23.4	15.8	16.1	9.6	11961	85	3	5
VA	40767	5706	37.4	365.3	174.4	22.4	20.3	11.4	9.2	9749	135	3	5
MV	24231	1936	46.7	502.7	199.6	35.2	20.1	18.4	10	2813	75	3	5
NC	52669	6255	45.4	392.6	169.2	22.6	19.8	13.1	10.2	9355	159	3	5
SC	31113	3347	47.8	374.4	156.9	19.6	19.2	14.8	9	4355	89	3	5
GA	58910	5976	48.2	371.4	157.9	22.6	20.5	13.2	10.4	8256	191	3	5
FL	58664	11366	46	501.8	244	34	18.3	16.1	17.2	18836	254	3	5
KY	40409	3726	48.8	442.5	194.7	29.8	22.9	15.9	9.1	5189	120	3	6
TN	42144	4762	45	427.2	185.6	27	20.8	12	8.3	7572	162	3	6
AL	51705	4021	48.9	411.5	185.8	25.5	16.8	16.1	9.1	5157	146	3	6
MS	47689	2613	59.3	422.3	173.9	21.7	19.5	14	7.1	2883	118	3	6
AR	53187	2359	51	482	202.1	29	22.7	15	8.7	2952	97	3	7
LA	47751	4481	52.3	390.9	168.1	18.6	15.8	17.8	8.3	7061	158	3	7
OK	69956	3301	62.5	441.4	182.4	27.6	24.5	15.3	9.6	4128	143	3	7
TX	266807	16370	48.9	327.9	146.5	20.7	17.4	12.1	8.7	23481	562	3	7
MT	147046	826	59	372.2	170.7	33.4	25.1	14.4	11.1	1058	67	4	8
ID	83564	15	51.5	324.8	140.4	29.9	22.3	12.4	9.2	1079	52	4	8
WY	97809	509	67.6	264.2	112.2	27.7	18.5	9.2	9.2	606	31	4	8
CO	104091	3231	44.7	280.2	125.1	29.9	22.8	9.6	9.5	5899	98	4	8
NM	121593	1450	62.3	235.6	137.2	28.7	17.8	17.5	13.1	2127	56	4	8
AZ	1140	3187	48.3	331.5	165.6	36.3	21.2	12.6	13.1	5137	79	4	8
UT	84899	1645	39.3	242	93.7	17.6	14.5	11.1	7.3	2563	44	4	8
NV	110561	936	57.3	299.5	162.3	32.3	13.7	11.1	15.4	1272	26	4	8
WA	68138	4409	41.4	358.1	171	31.1	21.2	13	10.9	7768	122	4	9
OR	97073	2687	41.6	387.8	179.4	33.8	23.1	11.2	10.4	4904	83	4	9
CA	158706	26365	40.3	357.8	173	26.9	22.2	10.7	16.7	57225	581	4	9
AK	5914	521	85.8	114.6	76.1	8.3	12.4	3.4	11	545	26	4	9
HI	6471	1054	32.5	216.9	125.8	16	16.8	12.7	6.2	1953	26	4	9
