4099	22	3	2	2.5	27.5	11	2930	186	40	121	3.58	1
4749	17	3	1	3	25.5	11	3350	173	40	258	2.53	1
3799	22	NaN	NaN	3	18.5	12	2640	168	35	121	3.08	1
9690	17	5	2	3	27	15	2830	189	37	131	3.2	3
6295	23	3	3	2.5	28	11	2070	174	36	97	3.7	3
9735	25	4	4	2.5	26	12	2650	177	34	121	3.64	3
4816	20	3	3	4.5	29	16	3250	196	40	196	2.93	1
7827	15	4	4	4	31.5	20	4080	222	43	350	2.41	1
5788	18	3	4	4	30.5	21	3670	218	43	231	2.73	1
4453	26	Nan	NaN	3	24	10	2230	170	34	304	2.87	1
5189	20	3	3	2	28.5	16	3280	200	42	196	2.93	1
10372	16	3	4	3.5	30	17	3880	207	43	231	2.93	1
4082	19	3	3	3.5	27	13	3400	200	42	231	3.08	1
11385	14	3	3	4	31.5	20	4330	221	44	425	2.28	1
14500	14	2	2	3.5	30	16	3900	204	43	350	2.19	1
15906	21	3	3	3	30	13	4290	204	45	350	2.24	1
3299	29	3	3	2.5	26	9	2110	163	34	231	2.93	1
5705	16	4	4	4	29.5	20	3690	212	43	250	2.56	1
4504	22	3	3	3.5	28.5	17	3180	193	41	200	2.73	1
5104	22	2	3	2	28.5	16	3220	200	41	200	2.73	1
3667	24	2	2	2	25	7	2750	179	40	151	2.73	1
3955	19	3	3	3.5	27	13	3430	197	43	250	2.56	1
6229	23	4	3	1.5	21	6	2370	170	35	119	3.89	2
4589	35	5	5	2	23.5	8	2020	165	32	85	3.7	2
5079	24	4	4	2.5	22	8	2280	170	34	119	3.54	2
8129	21	4	4	2.5	27	8	2750	184	38	146	3.55	2
3984	30	5	4	2	24	8	2120	163	35	98	3.54	1
5010	18	2	2	4	29	17	3600	206	46	318	2.47	1
5886	16	2	2	3.5	26	16	3870	216	48	318	2.71	1
6342	17	2	2	4.5	28	21	3740	220	46	225	2.94	1
4296	21	3	1	2.5	26.5	16	2130	161	36	105	3.37	3
4389	28	4	NaN	1.5	26	9	1800	147	33	98	3.15	3
4187	21	3	3	2	23	10	2650	179	42	140	3.08	1
5799	25	5	5	3	25.5	10	2240	172	36	107	3.05	2
4499	28	4	4	2.5	23.5	5	1760	149	34	91	3.3	2
11497	12	3	4	3.5	30.5	22	4840	233	51	400	2.47	1
13594	12	3	4	2.5	28.5	18	4720	230	48	400	2.47	1
13466	14	3	3	3.5	27	15	3830	201	41	302	2.47	1
3995	30	4	4	3.5	25.5	11	1980	154	33	86	3.73	2
3829	22	4	3	3	25.5	9	2580	169	39	140	2.73	1
5379	14	4	3	3.5	29.5	16	4060	221	48	302	2.75	1
6303	14	4	4	3	25	16	4130	217	45	302	2.75	1
6165	15	3	2	3.5	30.5	23	3720	212	44	302	2.26	1
4516	18	3	NaN	3	27	15	3370	198	41	250	2.43	1
3291	20	3	3	3.5	29	17	2830	195	43	140	3.08	1
8814	21	4	4	4	31.5	20	4060	220	43	350	2.41	1
4733	19	3	3	4.5	28	16	3300	198	42	231	2.93	1
5172	19	3	4	2	28	16	3310	198	42	231	2.93	1
5890	18	4	4	4	29	20	3690	218	42	231	2.73	1
4181	19	3	3	4.5	27	14	3370	200	43	231	3.08	1
4195	24	1	1	2	25.5	10	2720	180	40	151	2.73	1
10371	16	3	3	3.5	30	17	4030	206	43	350	2.41	1
12990	14	NaN	NaN	3.5	30.5	14	3420	192	38	163	3.58	3
4647	28	3	3	2	21.5	11	2360	170	37	156	3.05	1
4425	34	5	4	2.5	23	11	1800	157	37	86	2.97	1
4482	25	3	NaN	4	25	17	2200	165	36	105	3.37	1
6486	26	NaN	NaN	1.5	22	8	2520	182	38	119	3.54	1
4060	18	2	2	5	31	16	3330	201	44	225	3.23	1
5798	18	4	4	4	29	20	3700	214	42	231	2.73	1
4934	18	1	2	1.5	23.5	7	3470	198	42	231	3.08	1
5222	19	3	3	2	28.5	16	3210	201	45	231	2.93	1
4723	19	3	3	3.5	28	17	3200	199	40	231	2.93	1
4424	19	NaN	NaN	3.5	27	13	3420	203	43	231	3.08	1
4172	24	2	2	2	25	7	2690	179	41	151	2.73	1
3895	26	3	3	3	23	10	1830	142	34	79	3.72	1
3798	35	5	4	2.5	25.5	11	2050	164	36	97	3.81	2
5899	18	5	5	2.5	22	14	2410	174	36	134	3.06	2
3748	31	5	5	3	24.5	9	2200	165	35	97	3.21	2
5719	18	5	5	2	23	11	2670	175	36	134	3.05	2
4697	25	4	3	3	25.5	15	1930	155	35	89	3.78	3
5397	41	5	4	3	25.5	15	2040	155	35	90	3.78	3
6850	25	4	3	2	23.5	16	1990	156	36	97	3.78	3
7140	23	4	3	2.5	37.5	12	2160	172	36	97	3.74	3
11995	17	5	3	2.5	29.5	14	3170	193	37	163	2.98	3
